Security Code,Security Id,SECURITY_NAME,Status,Group,Face Value,ISIN No,Industry,Instrument
530745,LNIND,LN INDUSTRIES INDIA LTD,Suspended,Z ,10,INE366C01013,Textiles,Equity
514203,LOHIAPL,LOHIA POLYESTER LTD,Delisted,P ,10,NA          ,Textiles,Equity
590082,LOHIASEC,LOHIA SECURITIES LTD,Active,XT,10,INE803B01017,Other Financial Services,Equity
500256,LOKHSG,LOK HOUSING & CONSTRUCTIONS LTD,Delisted,Z ,10,INE367C01011,Realty,Equity
532740,LOKESHMACH,LOKESH MACHINES LTD,Active,B ,10,INE397H01017,Industrial Machinery,Equity
526568,LONTE,LONGVIEW TEA COMPANY LTD,Active,XT,10,INE696E01019,Tea & Coffee,Equity
534422,LOOKS,LOOKS HEALTH SERVICES LTD,Active,T ,10,INE204N01013,Healthcare Facilities,Equity
530039,LORDSCH,LORDS CHEMICALS LTD,Suspended,X ,10,INE554C01014,Commodity Chemicals,Equity
500284,LORDSCHLO,LORDS CHLORO ALKALI LTD,Active,XT,10,INE846D01012,Commodity Chemicals,Equity
530065,LORDSHOTL,LORDS ISHWAR HOTELS LTD,Active,XT,10,INE689J01013,Hotels,Equity
540952,LAL,LORENZINI APPARELS LTD,Active,M ,10,INE740X01015,Other Apparels & Accessories,Equity
523475,LOTUSCHO,LOTUS CHOCOLATE COMPANY LTD,Active,X ,10,INE026D01011,Packaged Foods,Equity
532998,LEHIL,LOTUS EYE HOSPITAL & INSTITUTE LTD,Active,B ,10,INE947I01017,Healthcare Facilities,Equity
533343,LOVABLE,LOVABLE LINGERIE LTD,Active,B ,10,INE597L01014,Other Apparels & Accessories,Equity
539227,LOYAL,LOYAL EQUIPMENTS LTD,Active,T ,10,INE876S01017,Industrial Machinery,Equity
514036,LOYALTEX,LOYAL TEXTILE MILLS LTD,Active,X ,10,INE970D01010,Textiles,Equity
514446,LSIND,LS INDUSTRIES LTD,Suspended,X ,1,INE345D01031,CommTrading  & Distribution,Equity
532783,DAAWAT,L T FOODS LTD,Active,B ,1,INE818H01020,Packaged Foods,Equity
526179,LUDLOWJUT,LUDLOW JUTE & SPECIALITIES LTD,Active,X ,10,INE983C01015,Jute & Jute Products,Equity
512048,LUHARUKA,LUHARUKA MEDIA & INFRA LTD,Active,X ,1,INE195E01020,Realty,Equity
532796,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD,Active,B ,2,INE872H01027,Auto Parts & Equipment,Equity
532537,LUMAXAUTO,LUMAX AUTOMOTIVE SYSTEMS LTD,Delisted,Z ,10,INE547G01019,Auto Parts & Equipment,Equity
517206,LUMAXIND,LUMAX INDUSTRIES LTD,Active,B ,10,INE162B01018,Auto Parts & Equipment,Equity
526045,LUMITECH,LUMINAIRE TECHNOLOGIES LTD,Delisted,Z ,1,INE682C01021,Other Apparels & Accessories,Equity
500257,LUPIN,LUPIN LTD,Active,A ,2,INE326A01037,Pharmaceuticals,Equity
508857,LUSTRTI,LUSTRE TILES LTD,Delisted,P ,10,NA          ,Furniture-Furnishing-Paints,Equity
539542,LUXIND,LUX INDUSTRIES LTD,Active,A ,2,INE150G01020,Other Apparels & Accessories,Equity
531402,LWSKNIT,LWS KNITWEAR LTD,Active,XT,10,INE281M01013,CommTrading  & Distribution,Equity
500259,LYKALABS,LYKA LABS LTD,Active,B ,10,INE933A01014,Pharmaceuticals,Equity
530689,LYKISLTD,LYKIS LTD,Active,X ,10,INE624M01014,Personal Products,Equity
505320,LYNMC,LYNX MACHINERY & COMMERCIALS LTD,Active,X ,10,INE732D01014,Industrial Machinery,Equity
531441,LYONSCO,LYONS CORPORATE MARKET LTD,Suspended,X ,10,INE100F01019,Finance (including NBFCs),Equity
534532,LYPSAGEMS,LYPSA GEMS & JEWELLERY LTD,Active,B ,10,INE142K01011,Other Apparels & Accessories,Equity
511082,MAAJTL,MAA JAGDAMBE TRADELINKS LTD,Suspended,XT,2,INE403N01029,CommTrading  & Distribution,Equity
531792,MAALFNC,MAA LEAFIN & CAPITAL LTD,Delisted,P ,10,NA          ,Other Financial Services,Equity
532906,MAANALU,MAAN ALUMINIUM LTD,Active,B ,10,INE215I01019,Construction & Engineering,Equity
531528,MAARSOFTW,MAARS SOFTWARE INTERNATIONAL LTD,Delisted,XT,10,INE390A01017,IT Software Products,Equity
507836,MCCHRLS-B,MAC CHARLES (INDIA) LTD,Active,X ,10,INE435D01014,Hotels,Equity
523248,MACPLASQ,MACHINO PLASTICS LTD,Active,X ,10,INE082B01018,Plastic Products,Equity
501471,MACK,MACK TRADING COLTD,Delisted,XT,10,INE436D01012,CommTrading  & Distribution,Equity
512600,MACINTR,MACRO (INTERNATIONAL) EXPORTS LTD,Active,X ,10,INE307N01014,CommTrading  & Distribution,Equity
539894,MADHAVIPL,MADHAV INFRA PROJECTS LTD,Active,X ,1,INE631R01026,Construction & Engineering,Equity
515093,MADHAV,MADHAV MARBLES AND GRANITES LTD,Active,B ,10,INE925C01016,Construction Materials,Equity
531497,MADHUCON,MADHUCON PROJECTS LTD,Active,B ,1,INE378D01032,Construction & Engineering,Equity
511638,MADHURC,MADHUR CAPITAL & FINANCE LTD,Suspended,Z ,10,INE107C01011,Finance (including NBFCs),Equity
519279,MADHURIND,MADHUR INDUSTRIES LTD,Active,X ,10,INE110C01015,Other Agricultural Products,Equity
515059,MADHUDIN,MADHUSUDAN INDUSTRIES LTD,Active,X ,5,INE469C01023,Edible Oils,Equity
511000,MADHUSE,MADHUSUDAN SECURITIES LTD,Active,XT,10,INE856D01011,Finance (including NBFCs),Equity
531910,MADHUVEER,MADHUVEER COM 18 NETWORK LTD,Suspended,XT,10,INE312M01016,Pharmaceuticals,Equity
590134,MADRASFERT,MADRAS FERTILIZERS LTD,Active,B ,10,INE414A01015,Fertilizers,Equity
517304,MDHITCH,MADRAS HI-TECH CIRCUITS LTD,Delisted,P ,10,NA          ,Electronic Components,Equity
500261,MDRPTRO,MADRAS PETRO-CHEM LTD,Delisted,P ,10,NA          ,Refineries/ Petro-Products,Equity
538401,METSL,MAESTROS ELECTRONICS & TELECOMMUN. SYSTEMS LTD,Active,X ,10,INE318N01011,Electronic Components,Equity
501209,MAESTROM,MAESTROS MEDILINE SYSTEMS LTD,Delisted,XT,10,INE408E01027,Medical Equipment,Equity
501458,MAFATDY,MAFATLAL DYES & CHEMICALS LTD,Delisted,X ,10,INE733D01012,CommTrading  & Distribution,Equity
500262,MAFATLAFIN,MAFATLAL FINANCE COLTD,Suspended,B ,10,INE965B01014,Finance (including NBFCs),Equity
500264,MAFATIND,MAFATLAL INDUSTRIES LTD,Active,X ,10,INE270B01027,Textiles,Equity
520149,MAFLU,MAFATLAL LUBRICANTS LTD,Suspended,P ,10,INE521D01011,Refineries/ Petro-Products,Equity
540650,MAGADHSUGAR,MAGADH SUGAR & ENERGY LTD,Active,B ,10,INE347W01011,Sugar,Equity
530411,MAGIN,MAGAN INDUSTRIES LTD,Delisted,Z ,2,INE402B01026,Textiles,Equity
538891,MCLOUD,MAGELLANIC CLOUD LTD,Active,X ,10,INE613C01018,IT Consulting & Software,Equity
512351,ZMAGICOE,MAGICO EXPORTS & CONSULTANTS LTD,Delisted,T ,10,NA          ,CommTrading  & Distribution,Equity
524000,MAGMA,MAGMA FINCORP LTD,Active,A ,2,INE511C01022,Finance (including NBFCs),Equity
524270,MAGNACOL,MAGNA COLORS LTD,Delisted,ZP,10,INE283N01017,Specialty Chemicals,Equity
517449,MAGNAELQ,MAGNA ELECTRO CASTINGS LTD,Active,X ,10,INE437D01010,Other Industrial Products,Equity
523872,MAGNA,MAGNA INDUSTRIES & EXPORTS LTD,Delisted,P ,10,INE113F01012,CommTrading  & Distribution,Equity
512377,MAGANTR,MAGNANIMOUS TRADE & FINANCE LTD,Active,XT,10,INE664N01018,MiscCommercial Services,Equity
530347,MAGNUML,MAGNUM LTD,Suspended,Z ,10,INE591B01018,IT Software Products,Equity
532896,MAGNUM,MAGNUM VENTURES LTD,Active,B ,10,INE387I01016,Paper & Paper Products,Equity
523882,MAGNSRB,MAGNUS RUBBER INDUSTRIES LTD,Delisted,P ,10,NA          ,Auto Tyres & Rubber Products,Equity
523384,MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LTD,Active,T ,10,INE843B01013,Finance (including NBFCs),Equity
519612,MAHAANF,MAHAAN FOODS LTD,Active,X ,10,INE734D01010,Packaged Foods,Equity
521139,MHGTCXT,MAHAGANESH TEXPRO LTD,Delisted,P ,10,NA          ,Textiles,Equity
514450,MHLXMIRU,MAHALAXMI RUBTECH LTD,Active,X ,10,INE112D01035,Other Industrial Products,Equity
513460,MAHALXSE,MAHALAXMI SEAMLESS LTD,Active,Z ,10,INE257F01017,Iron & Steel Products,Equity
513554,MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LTD,Active,B ,10,INE451L01014,Iron & Steel Products,Equity
531515,MAHANIN,MAHAN INDUSTRIES LTD,Active,XT,10,INE735D01033,CommTrading  & Distribution,Equity
500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD,Active,B ,10,INE153A01019,Telecom Services,Equity
530441,MAHAN,MAHANIVESH (INDIA) LTD,Suspended,Z ,10,INE641D01017,MiscCommercial Services,Equity
530059,MAHASHR,MAHARAJA SHREE UMAID MILLS LTD,Delisted,B ,10,INE087D01013,Textiles,Equity
505523,MAHACORP,MAHARASHTRA CORPORATION LTD,Active,XT,1,INE272E01027,CommTrading  & Distribution,Equity
504824,MAHELEK,MAHARASHTRA ELEKTROSMELT LTD,Delisted,T ,10,INE400E01016,Other Non-Ferrous Metals,Equity
506871,MAHAXPO,MAHARASHTRA EXPLOSIVES LTD,Delisted,P ,5,NA          ,Specialty Chemicals,Equity
524232,MAHAPOL,MAHARASHTRA POLYBUTENES LTD,Delisted,Z ,1,INE488E01037,Petrochemicals,Equity
500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD,Active,A ,10,INE288A01013,Investment Companies,Equity
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD,Active,A ,5,INE271B01025,Construction & Engineering,Equity
526795,MHSGRMS,MAHASAGAR TRAVELS LTD,Active,ZP,10,INE007G01014,Surface Transportation,Equity
512337,MAHSHRE,MAHASHREE TRADING LTD,Active,P ,10,INE924T01013,CommTrading  & Distribution,Equity
590117,MAHAVEERINF,MAHAVEER       INFOWAY LTD-$,Delisted,XD,10,INE019D01016,IT Consulting & Software,Equity
539383,MINFY,MAHAVEER INFOWAY LTD,Active,Z ,10,INE019D01016,IT Consulting & Software,Equity
531689,MAHAREM,MAHAVIR ADVANCED REMEDIES LTD,Suspended,XT,10,INE716N01016,Pharmaceuticals,Equity
531664,MAHAV,MAHAVIR IMPEX LTD,Delisted,Z ,5,INE997B01025,CommTrading  & Distribution,Equity
